จังหวัด,จำนวนสาขา
อุดรธานี,4
ขอนแก่น,4
เชียงราย,4
นครราชสีมา,4
บุรีรัมย์,3
กาฬสินธุ์,3
สกลนคร,3
ร้อยเอ็ด,2
บึงกาฬ,2
ปทุมธานี,2
ยโสธร,2
อุบลราชธานี,2
สุโขทัย,2
น่าน,2
ประจวบคีรีขันธ์,2
สุราษฎร์ธานี,2
เชียงใหม่,2
หนองคาย,2
มหาสารคาม,2
นครสวรรค์,2
นครปฐม,2
อุตรดิตถ์,1
กาญจนบุรี,1
สิงห์บุรี,1
นราธิวาส,1
อ่างทอง,1
เลย,1
ชุมพร,1
พัทลุง,1
พิจิตร,1
ภูเก็ต,1
สงขลา,1
ชัยนาท,1
ปัตตานี,1
สตูล,1
ศรีสะเกษ,1
ระนอง,1
นนทบุรี,1
สมุทรสาคร,1
ปราจีนบุรี,1
แม่ฮ่องสอน,1
พะเยา,1
นครศรีธรรมราช,1
ลำปาง,1
ระยอง,1
ชลบุรี,1
ราชบุรี,1
นครพนม,1
ชัยภูมิ,1
สุรินทร์,1
พิษณุโลก,1
ลำพูน,1
มุกดาหาร,1
แพร่,1
นครนายก,1
กำแพงเพชร,1
เพชรบูรณ์,1
ลพบุรี,1
จันทบุรี,1
ตราด,1
สมุทรปราการ,1
หนองบัวลำภู,1
สมุทรสงคราม,1
พระนครศรีอยุธยา,1
ตาก,1
